 Transaction ID ,Date of Sale, Client Name  ,Product Group, Item Desc , Qty Sold , Total Sales Value ,Sales Territory 
TXN-572142,09/13/2023,Stark Industries,Training,Product-557,991,38555.74,Global
TXN-239554,TBD,Acme Corp,Support,Product-949,261,"39.455,34 €",LATAM
TXN-671603,2023-10-10,UMBRELLA CORP,Software,Product-261,815,"$27,370.11",Global
TXN-526817,03.06.2023,Umbrella Corp,Software,Product-744,921,"39.244,82 €",Global
TXN-152093,21.04.2024,cyberdyne systems,Support,Product-589,90,42423.76,LATAM
TXN-663465,2024.01.17,Acme Corp,Licensing,Product-734,167,,LATAM
TXN-429947,2024-06-05,Massive Dynamic,Support,Product-500,159,,NA
TXN-410290,15.11.2024,Oscorp,Software,Product-609,-364,"25.852,11 €",NA
TXN-232490,2024.01.22,Globex GmbH,Training,Product-163,84,"728,88 €",LATAM
TXN-454970,01/10/2024,acme corp,Hardware,Product-629,420,"$43,573.32",LATAM
TXN-794774,29.09.2024,SOYLENT CORP,Support,Product-465,701,"$45,482.79",EMEA
TXN-923224,TBD,ACME CORP,Cloud Infrastructure,Product-977,928,"4.686,75 €",
TXN-430564,2023-08-15,Cyberdyne Systems,Software,Product-537,450,"$37,241.71",EMEA
TXN-645472,05/24/2023,Umbrella Corp,,Product-799,260,"$13,970.71",NA
TXN-615783,2024.03.16,globex gmbh,Hardware,Product-735,627,"$17,908.77",NA
TXN-615783,2024.03.16,globex gmbh,Hardware,Product-735,627,"$17,908.77",NA
TXN-349882,22.05.2023,Oscorp,Training,Product-344,545,3443.33,Global
TXN-593497,2024.06.30,Oscorp,,Product-877,415,"$14,782.93",NA
TXN-925981,2024-11-04,wayne enterprises,,Product-292,889,"$18,785.10",APAC
TXN-988279,,Oscorp,Consulting,Product-864,258,"23.635,60 €",EMEA
TXN-237586,29/01/2024,WAYNE ENTERPRISES,Software,Product-241,821,14881.14,EMEA
TXN-483913,12/30/2023,Wayne Enterprises,Hardware,Product-405,219,,LATAM
TXN-378915,18.03.2023,oscorp,Hardware,Product-638,,,APAC
TXN-311943,26.06.2023,Umbrella Corp,Cloud Infrastructure,Product-704,871,$728.31,LATAM
TXN-541944,2024-03-01,Stark Industries,,Product-157,687,21768.62,EMEA
TXN-198859,12/16/2023,Cyberdyne Systems,Software,Product-487,427,"$15,520.19",APAC
TXN-225293,2024.08.19,Soylent Corp,Training,Product-382,376,"18.180,45 €",LATAM
TXN-311606,09/03/2024,Stark Industries,Support,Product-842,187,,Global
TXN-482712,2023.04.27,Soylent Corp,Licensing,Product-141,,"20.480,78 €",APAC
TXN-145927,06/02/2024,Globex GmbH,Training,Product-576,978,"26.658,02 €",EMEA
TXN-423819,09/02/2023,UMBRELLA CORP,Cloud Infrastructure,Product-975,484,"$41,101.64",
TXN-957044,2024-07-19,Initech ag,Consulting,Product-422,19,"24.512,07 €",LATAM
TXN-935622,07/09/2023,CYBERDYNE SYSTEMS,Consulting,Product-239,878,41692.45,Global
TXN-888416,2023-02-27,Acme Corp,Software,Product-791,512,"$12,460.72",LATAM
TXN-796359,2023-05-17,Initech AG,Consulting,Product-978,977,22892.54,APAC
TXN-761338,06.01.2023,Stark Industries,Training,Product-507,903,"$19,983.07",EMEA
TXN-547806,27.12.2023,Umbrella Corp,Support,Product-124,621,46811.72,APAC
TXN-962052,2023.06.10,Cyberdyne Systems,Software,Product-629,84,"$13,105.77",EMEA
TXN-865765,,Soylent Corp,Cloud Infrastructure,Product-131,451,"45.571,51 €",Global
TXN-763220,18.08.2023,Acme Corp,Hardware,Product-411,366,"43.283,53 €",EMEA
TXN-306062,2024-08-15,Cyberdyne Systems,Support,Product-943,143,"12.332,99 €",NA
TXN-712619,2024-08-22,Umbrella Corp,Software,Product-638,,"9.258,46 €",APAC
TXN-179388,TBD,Massive Dynamic,Consulting,Product-499,567,5501.05,EMEA
TXN-583473,2024.04.14,Globex gmbh,,Product-589,794,2499.52,LATAM
TXN-442749,06/06/2024,WAYNE ENTERPRISES,Hardware,Product-243,-209,33662.83,EMEA
TXN-267043,2024.06.14,soylent corp,Hardware,Product-384,192,"31.756,60 €",NA
TXN-600606,17.01.2024,umbrella corp,Cloud Infrastructure,Product-737,437,19112.12,Global
TXN-160584,11/03/2024,Wayne Enterprises,Support,Product-856,691,47011.59,APAC
TXN-285269,2024.05.20,Soylent Corp,Hardware,Product-404,504,"$48,573.50",LATAM
TXN-800206,,Acme Corp,Consulting,Product-127,670,"37.312,10 €",APAC
TXN-148550,2023.01.04,Acme Corp,Hardware,Product-915,398,"$14,292.64",NA
TXN-318475,2023.07.30,Soylent Corp,Consulting,Product-578,398,,NA
TXN-492204,,Stark Industries,Software,Product-158,206,"5.371,54 €",NA
TXN-918594,2023.04.26,Cyberdyne Systems,Software,Product-555,52,13955.88,EMEA
TXN-246578,2023-02-11,CYBERDYNE SYSTEMS,Hardware,Product-661,23,"32.853,73 €",Global
TXN-362322,15/09/2024,Cyberdyne Systems,Cloud Infrastructure,Product-309,-393,27139.47,EMEA
TXN-990136,2023.12.03,Massive Dynamic,Licensing,Product-249,,"$36,103.28",
TXN-239268,2024.05.24,Cyberdyne Systems,Licensing,Product-531,21,"$15,776.01",APAC
TXN-421776,02/29/2024,initech ag,Hardware,Product-255,78,3743.56,LATAM
TXN-814819,01/30/2024,Acme Corp,Hardware,Product-140,855,"44.370,81 €",LATAM
TXN-494064,20.03.2024,Globex GmbH,Cloud Infrastructure,Product-620,634,"$37,345.54",NA
TXN-471066,10/07/2023,Acme Corp,Licensing,Product-800,843,"$17,723.27",LATAM
TXN-595155,03/24/2024,Acme Corp,Hardware,Product-795,137,"22.166,86 €",LATAM
TXN-773429,11/01/2024,globex gmbh,Consulting,Product-912,966,"-49.956,73 €",LATAM
TXN-402026,2023.02.11,Oscorp,,Product-870,729,10050.79,APAC
TXN-116521,2024-05-26,Umbrella Corp,Cloud Infrastructure,Product-417,413,,Global
TXN-401751,14.06.2023,STARK INDUSTRIES,Consulting,Product-381,729,"$37,113.23",LATAM
TXN-726474,,Acme Corp,Licensing,Product-602,398,"997,88 €",EMEA
TXN-376452,2024.04.14,Cyberdyne Systems,Support,Product-704,168,"1.073,79 €",
TXN-405108,16.08.2023,Acme Corp,Training,Product-602,863,"$47,031.84",APAC
TXN-710029,07.11.2023,Stark Industries,Licensing,Product-694,251,"$23,469.47",NA
TXN-704327,10/30/2023,Initech AG,Hardware,Product-689,467,"39.184,07 €",NA
TXN-885038,2024.11.05,Globex gmbh,Licensing,Product-693,914,"7.517,97 €",
TXN-529005,01.05.2024,Initech AG,Licensing,Product-273,495,41440.21,APAC
TXN-780206,20/04/2024,Massive Dynamic,Software,Product-238,484,"$21,467.16",NA
TXN-128049,2023-02-28,Massive Dynamic,,Product-786,865,20226.32,LATAM
TXN-924638,23/12/2023,Umbrella Corp,Training,Product-963,286,"$37,890.61",LATAM
TXN-758752,2024.11.28,Soylent Corp,Cloud Infrastructure,Product-516,262,39286.29,NA
TXN-370509,2024-09-13,Umbrella Corp,Consulting,Product-223,754,35944.40,NA
TXN-609946,13.01.2023,wayne enterprises,Hardware,Product-751,696,"2.171,02 €",Global
TXN-709971,2023-09-10,Oscorp,Support,Product-667,141,11709.79,Global
TXN-779052,2024-11-05,Wayne Enterprises,Software,Product-789,7,"34.352,85 €",NA
TXN-625582,2023-01-13,oscorp,Consulting,Product-155,630,35909.07,APAC
TXN-800614,02.10.2024,Cyberdyne Systems,Cloud Infrastructure,Product-950,665,"45.132,45 €",EMEA
TXN-874297,05/22/2024,INITECH AG,Hardware,Product-688,733,"$-20,951.83",APAC
TXN-759161,2024.05.21,Acme Corp,Cloud Infrastructure,Product-821,973,13225.99,
TXN-481967,2024.10.23,Initech AG,Consulting,Product-384,277,"10.166,59 €",LATAM
TXN-772072,2023.02.27,UMBRELLA CORP,Software,Product-459,679,26747.20,LATAM
TXN-592827,09/20/2023,Oscorp,Licensing,Product-873,746,"37.768,22 €",Global
TXN-397647,21.07.2024,Umbrella Corp,Training,Product-476,-798,6813.04,EMEA
TXN-612059,01/29/2024,Oscorp,Support,Product-359,,"$3,360.74",NA
TXN-822188,2023.08.13,Initech AG,Support,Product-346,186,39662.35,APAC
TXN-792996,2023-06-10,Initech AG,Hardware,Product-774,346,30700.58,EMEA
TXN-759508,2024.03.15,Soylent Corp,,Product-256,417,85.36,EMEA
TXN-489031,2023-07-03,Stark Industries,,Product-592,118,6448.70,EMEA
TXN-141087,2023.03.15,initech ag,Licensing,Product-291,888,"$16,811.10",Global
TXN-848391,2024.03.18,Acme Corp,,Product-588,762,"2.820,34 €",NA
TXN-963848,06/29/2023,Massive Dynamic,Software,Product-811,249,"$38,401.39",NA
TXN-409941,,Stark Industries,Cloud Infrastructure,Product-569,140,"$26,357.08",Global
TXN-736604,2024.02.17,Umbrella Corp,Software,Product-885,152,5943.17,
TXN-655651,TBD,stark industries,Support,Product-890,540,"47.826,16 €",EMEA
TXN-101337,11/12/2023,INITECH AG,Hardware,Product-121,570,,
TXN-427987,04.11.2023,initech ag,Hardware,Product-109,-527,"$30,273.60",LATAM
TXN-257009,2023-04-01,Umbrella Corp,Software,Product-563,342,"9.863,88 €",Global
TXN-663998,10/24/2023,Soylent Corp,Licensing,Product-535,660,"$-45,387.89",Global
TXN-248993,2023.09.24,Stark Industries,,Product-887,7,"29.558,36 €",LATAM
TXN-122117,2024-05-01,Cyberdyne Systems,Software,Product-882,479,-3630.33,NA
TXN-610855,02.07.2024,Stark Industries,Support,Product-674,895,36894.09,
TXN-696894,03.04.2023,Wayne Enterprises,Support,Product-380,42,"11.722,00 €",Global
TXN-971553,09/09/2023,Soylent Corp,Licensing,Product-300,915,2310.59,APAC
TXN-164031,2023-09-28,Initech AG,,Product-402,518,,LATAM
TXN-899388,13.11.2024,Acme Corp,,Product-476,40,"14.061,74 €",APAC
TXN-608355,25.01.2023,Cyberdyne Systems,Software,Product-479,304,"$18,891.85",Global
TXN-597848,2023.07.28,Oscorp,Hardware,Product-373,914,"$12,336.35",Global
TXN-753583,09.01.2023,Wayne Enterprises,Software,Product-676,130,"$24,273.20",EMEA
TXN-472996,17/11/2023,massive dynamic,Hardware,Product-801,819,"21.339,53 €",APAC
TXN-377878,12/10/2024,Oscorp,Licensing,Product-302,767,"20.056,15 €",EMEA
TXN-201377,20.06.2024,Globex GmbH,Support,Product-683,209,33247.02,EMEA
TXN-299566,TBD,Stark Industries,Consulting,Product-381,932,"5.618,55 €",NA
TXN-525281,05/17/2023,Stark Industries,Cloud Infrastructure,Product-207,537,"45.029,02 €",LATAM
TXN-636891,2024-02-15,Stark Industries,Training,Product-701,655,"$42,095.04",LATAM
TXN-757824,18/11/2023,Globex GmbH,Hardware,Product-412,649,"23.123,47 €",EMEA
TXN-209014,2023.11.29,Massive Dynamic,Cloud Infrastructure,Product-742,502,10633.25,EMEA
TXN-876523,17.05.2024,STARK INDUSTRIES,Licensing,Product-376,522,"24.132,47 €",NA
TXN-334005,2023-07-26,Globex GmbH,Cloud Infrastructure,Product-713,-113,"973,43 €",Global
TXN-843545,15.10.2023,Stark Industries,Software,Product-152,952,41225.18,
TXN-851283,18.05.2024,Initech AG,Software,Product-766,872,"$10,723.05",NA
TXN-356407,23.09.2023,Cyberdyne Systems,Support,Product-309,428,"21.738,90 €",NA
TXN-920985,16/03/2024,oscorp,,Product-954,865,"22.051,58 €",EMEA
TXN-702928,,Cyberdyne Systems,Cloud Infrastructure,Product-668,,"$14,384.20",EMEA
TXN-684445,2023-04-06,Stark Industries,Support,Product-339,,19789.23,APAC
TXN-704453,09/27/2024,Massive Dynamic,Cloud Infrastructure,Product-526,,,Global
TXN-582500,13.08.2024,STARK INDUSTRIES,Software,Product-570,916,,APAC
TXN-815645,07/16/2024,Massive Dynamic,Consulting,Product-748,219,"$33,428.95",Global
TXN-792871,01.07.2023,Acme Corp,Consulting,Product-920,267,"$-9,872.16",Global
TXN-673166,2024.08.19,Umbrella Corp,Training,Product-335,380,"1.404,51 €",APAC
TXN-667364,06/10/2024,Wayne Enterprises,,Product-853,813,"$-11,719.35",APAC
TXN-667364,06/10/2024,Wayne Enterprises,,Product-853,813,"$-11,719.35",APAC
TXN-660853,21.11.2023,UMBRELLA CORP,Software,Product-547,370,-36328.38,
TXN-757797,06.10.2024,Oscorp,Cloud Infrastructure,Product-451,350,"$34,871.17",APAC
TXN-284423,2023-08-11,Cyberdyne Systems,Hardware,Product-949,367,,EMEA
TXN-762732,2024-05-26,Stark Industries,Support,Product-721,527,"$2,888.88",
TXN-300396,10.02.2023,oscorp,Support,Product-600,394,388.38,NA
TXN-349103,22.12.2023,Acme Corp,Support,Product-168,-864,28535.94,NA
TXN-176100,TBD,Umbrella Corp,Hardware,Product-423,100,7559.17,LATAM
TXN-800569,25/07/2023,soylent corp,Hardware,Product-253,425,"33.918,79 €",NA
TXN-470617,14/07/2023,Massive Dynamic,Training,Product-430,706,"$38,159.74",NA
TXN-391392,2023-03-19,Umbrella Corp,Support,Product-515,988,22294.10,NA
TXN-295563,24/05/2023,Acme Corp,Consulting,Product-666,847,"$4,075.89",NA
TXN-342249,08/18/2023,Stark Industries,Hardware,Product-199,588,"40.471,31 €",NA
TXN-475410,11/18/2023,Acme Corp,Hardware,Product-839,925,39726.64,NA
TXN-105589,2023.04.15,INITECH AG,Support,Product-169,762,37243.53,Global
TXN-915119,08/11/2024,Acme Corp,Consulting,Product-439,594,"$13,131.23",APAC
TXN-316481,19/11/2023,Soylent Corp,Cloud Infrastructure,Product-545,250,"1.229,58 €",EMEA
TXN-266195,12/01/2024,Cyberdyne Systems,Software,Product-678,259,,Global
TXN-802355,23/06/2023,Soylent Corp,Software,Product-613,546,,Global
TXN-770144,2023.12.27,Cyberdyne Systems,Consulting,Product-930,498,"44.642,12 €",NA
TXN-494369,TBD,Oscorp,Consulting,Product-620,-970,36716.11,EMEA
TXN-297822,30.01.2023,Globex GmbH,Consulting,Product-336,564,,LATAM
TXN-241559,,Initech AG,Cloud Infrastructure,Product-368,690,"25.412,69 €",Global
TXN-172599,2024.05.24,STARK INDUSTRIES,Hardware,Product-971,,41036.98,APAC
TXN-803318,2023.04.15,Umbrella Corp,Training,Product-173,265,43964.50,LATAM
TXN-901028,12.11.2024,Massive Dynamic,Training,Product-370,529,5757.80,EMEA
TXN-140343,15/01/2024,Umbrella Corp,Support,Product-982,880,47265.08,LATAM
TXN-639207,2024.01.07,Acme Corp,Hardware,Product-757,116,17067.98,EMEA
TXN-306045,2024-05-12,Oscorp,Cloud Infrastructure,Product-588,471,"$3,876.23",Global
TXN-898592,07/22/2024,Wayne Enterprises,Support,Product-830,8,"26.465,97 €",LATAM
TXN-830814,22.06.2024,Globex GmbH,Support,Product-638,837,"20.481,47 €",NA
TXN-344458,,Soylent Corp,Support,Product-391,960,"38.537,12 €",LATAM
TXN-240257,03/25/2024,Soylent Corp,Training,Product-809,324,"42.175,31 €",
TXN-152341,2024.05.08,Wayne Enterprises,Software,Product-739,-814,38915.22,EMEA
TXN-575719,2024.03.01,Wayne Enterprises,Consulting,Product-690,561,45942.60,APAC
TXN-656618,2024-02-07,WAYNE ENTERPRISES,Hardware,Product-886,787,"47.909,53 €",EMEA
TXN-950770,,Wayne Enterprises,Consulting,Product-461,230,,EMEA
TXN-357642,2024.02.24,Stark Industries,Software,Product-665,527,"15.034,77 €",Global
TXN-427723,25.11.2023,Stark Industries,Consulting,Product-418,577,"42.616,78 €",NA
TXN-273205,02/07/2023,Wayne Enterprises,Training,Product-729,725,301.87,LATAM
TXN-819465,2023-03-06,Acme Corp,Hardware,Product-235,154,25071.69,Global
TXN-394853,28.10.2023,Initech AG,Hardware,Product-855,146,"6.196,28 €",APAC
TXN-888711,31/10/2024,Soylent Corp,Consulting,Product-360,485,"$48,035.61",NA
TXN-651306,2024-03-11,Massive Dynamic,Support,Product-799,842,"$34,287.81",APAC
TXN-282476,2023.08.14,oscorp,Consulting,Product-528,275,7423.67,APAC
TXN-795633,04/01/2023,Wayne Enterprises,Consulting,Product-300,762,"$36,232.11",EMEA
,,,,,,,
TXN-465058,2024-03-10,wayne enterprises,Consulting,Product-282,715,"$5,842.00",NA
TXN-213608,2023.05.23,Wayne Enterprises,Training,Product-863,861,48922.87,APAC
TXN-939600,,Initech AG,Training,Product-299,,"$31,762.00",EMEA
TXN-283866,25.03.2023,Stark Industries,Cloud Infrastructure,Product-269,452,20604.33,Global
TXN-685696,19/07/2023,Cyberdyne Systems,Software,Product-625,580,37542.17,APAC
TXN-806542,2024.11.05,Stark Industries,Hardware,Product-296,934,"1.462,43 €",
TXN-153223,2023-12-23,CYBERDYNE SYSTEMS,Licensing,Product-658,,"40.552,14 €",EMEA
TXN-807543,12/06/2023,Soylent Corp,Licensing,Product-435,68,"$29,118.82",APAC
TXN-773587,04/17/2023,UMBRELLA CORP,,Product-853,977,24871.14,APAC
TXN-350718,TBD,oscorp,Cloud Infrastructure,Product-352,274,27919.62,Global
TXN-725582,07/25/2023,Oscorp,Hardware,Product-871,482,"$35,478.22",APAC
TXN-399545,01.11.2024,Acme Corp,Support,Product-220,531,"40.293,44 €",LATAM
TXN-465905,10/06/2024,Globex gmbh,Training,Product-707,559,"$-12,486.58",
TXN-916458,2023-01-04,WAYNE ENTERPRISES,Software,Product-484,567,"$1,792.26",APAC
TXN-604701,08/09/2024,Cyberdyne Systems,Software,Product-543,328,"46.967,13 €",LATAM
TXN-406660,2023-10-13,Stark Industries,Support,Product-317,364,"$21,865.46",LATAM
TXN-321565,2023.01.27,Wayne Enterprises,Consulting,Product-227,514,317.92,EMEA
TXN-985608,31/10/2023,initech ag,Cloud Infrastructure,Product-535,42,"44.220,38 €",Global
TXN-454057,05/29/2024,Initech AG,Consulting,Product-477,601,"33.635,26 €",NA
TXN-230772,2023-12-16,wayne enterprises,Licensing,Product-506,26,"$31,922.53",EMEA
TXN-716895,2023.05.07,Initech ag,Licensing,Product-326,49,"8.383,94 €",EMEA
TXN-817979,2024-07-08,Cyberdyne Systems,Training,Product-539,-341,,LATAM
TXN-140622,06/17/2024,Oscorp,Licensing,Product-795,664,42235.16,Global
TXN-714944,23/09/2024,Acme Corp,Licensing,Product-462,733,$640.90,Global
TXN-934650,17.01.2024,Stark Industries,Cloud Infrastructure,Product-829,172,"$30,709.31",NA
TXN-958315,12.02.2024,Massive Dynamic,Support,Product-590,268,49902.40,LATAM
TXN-155522,07/27/2023,Stark Industries,Consulting,Product-444,358,19895.54,APAC
TXN-545740,17/11/2023,Initech ag,Licensing,Product-971,786,"-40.773,48 €",EMEA
TXN-503587,25/04/2023,Massive Dynamic,Hardware,Product-339,742,"42.610,92 €",APAC
TXN-941177,24/06/2023,Massive Dynamic,,Product-552,747,,Global
TXN-305204,31.05.2024,massive dynamic,,Product-381,402,"25.339,67 €",EMEA
TXN-848982,2024-10-20,Stark Industries,Cloud Infrastructure,Product-938,649,"19.042,73 €",APAC
TXN-918673,2023-07-20,Umbrella Corp,,Product-756,259,"8.960,90 €",APAC
TXN-412287,05/10/2023,Soylent Corp,,Product-956,641,"21.300,18 €",
TXN-345573,10/27/2024,Globex GmbH,Software,Product-192,,30958.97,LATAM
TXN-273798,2023-11-05,Initech AG,Cloud Infrastructure,Product-305,856,27280.16,EMEA
TXN-286801,2024-10-29,Cyberdyne Systems,Hardware,Product-326,116,"-4.609,73 €",Global
TXN-330156,15/11/2023,UMBRELLA CORP,Hardware,Product-650,95,$399.38,APAC
TXN-986600,09/03/2024,Wayne Enterprises,Support,Product-438,360,"28.709,98 €",APAC
TXN-562039,2023.03.04,Wayne Enterprises,Support,Product-113,,"44.879,75 €",APAC
TXN-141034,2024.08.31,acme corp,Hardware,Product-633,110,"23.232,23 €",APAC
TXN-975494,07/08/2023,Acme Corp,Hardware,Product-567,674,15327.01,APAC
TXN-281807,20/10/2023,globex gmbh,,Product-643,569,"23.885,89 €",Global
TXN-554210,2023.08.25,initech ag,Consulting,Product-739,N/A,20054.21,APAC
TXN-248817,17/05/2024,globex gmbh,Consulting,Product-396,851,30878.56,Global
TXN-363817,09/03/2023,Initech AG,Training,Product-676,933,"$-11,636.55",APAC
TXN-640053,2023.03.04,stark industries,Consulting,Product-838,625,"$48,294.83",Global
TXN-820012,05/22/2023,Acme Corp,Cloud Infrastructure,Product-221,952,24997.45,LATAM
TXN-404352,03/06/2023,Initech AG,Support,Product-683,756,"$29,115.43",EMEA
TXN-308124,01/15/2023,Massive Dynamic,,Product-521,N/A,"$8,134.05",Global
TXN-145966,13.01.2024,Stark Industries,Software,Product-766,217,"$26,396.87",NA
TXN-619455,21.08.2023,Initech AG,Licensing,Product-309,992,,Global
TXN-855043,08/04/2023,GLOBEX GMBH,Hardware,Product-340,632,"41.057,48 €",NA
TXN-880500,01/11/2024,Acme Corp,,Product-205,885,"$37,485.60",LATAM
TXN-736161,15.07.2024,Acme Corp,Software,Product-734,459,21810.21,Global
TXN-247690,2024.05.29,Cyberdyne Systems,Hardware,Product-531,545,38120.32,EMEA
TXN-936329,2023.04.07,Cyberdyne Systems,Software,Product-310,827,"6.006,25 €",LATAM
TXN-635219,30/07/2023,Oscorp,Cloud Infrastructure,Product-838,,41005.57,EMEA
